LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,ndmi,y,x
5,0.307,0.1063,0.0852,0.11470000000000001,0.07990727,1.3296604e-07,4.5650013e-06,0.3332,0.3604,0.2383,0.1763,0.0718,0.15380000000000002,0.2755,0.31420000000000003,-0.35014164305949,-0.038009049773755674,-0.08535031847133755,0.4856036777159448,0.506356256700873,0.4856036777159448,-0.4560113824994071,1.9960988296488944,0.18262206843521728,-0.125985695947185,0.125985695947185,-2393675.0,3876145.0
3,0.34190000000000004,0.08420000000000001,0.06330000000000001,0.0989,0.15601552,6.5507294e-07,9.853097e-06,0.3326,0.3506,0.21200000000000002,0.12430000000000001,0.0577,0.15030000000000002,0.26680000000000004,0.3063,-0.36378256674171766,-0.08028399781540137,-0.04628099173553725,0.6047876085425957,0.5614821291944475,0.6047876085425957,-0.5512704174228676,2.27478376580173,0.28187633262260126,-0.2345188662213396,0.2345188662213396,-2404505.0,3875165.0
3,0.21050000000000002,0.07100000000000001,0.0717,0.08410000000000001,0.17074585,1.6380071e-06,1.1550514e-05,0.2695,0.3155,0.1893,0.1107,0.0984,0.1328,0.217,0.24500000000000002,-0.3847841989758595,-0.084461637653127,0.15696649029982365,0.4955595026642984,0.4143344709897611,0.4955595026642984,-0.4290563475899525,1.5850903614457832,0.3032384690873405,-0.05302651325662837,0.05302651325662837,-2404585.0,3875195.0
3,0.3322,0.1085,0.0794,0.1169,0.13343513,6.2340496e-07,8.235353e-06,0.3098,0.1713,0.2635,0.1665,0.08900000000000001,0.163,0.24710000000000001,0.27990000000000004,-0.3853838065194532,-0.03726708074534164,0.057007125890736414,0.5076015429997731,0.5202853642718166,0.5076015429997731,-0.4794032509463371,2.0380368098159507,0.20073664825046042,-0.11532650663085443,0.11532650663085443,-2404405.0,3875085.0
3,0.2817,0.1015,0.07490000000000001,0.10160000000000001,0.1305178,6.9586036e-07,8.470897e-06,0.27290000000000003,0.2862,0.24880000000000002,0.1621,0.0838,0.1424,0.2162,0.2421,-0.42009132420091316,-0.0004923682914820427,0.0560806553245116,0.4702505219206681,0.45355355731968855,0.4702505219206681,-0.46986694495173487,1.9782303370786518,0.16769167691676912,-0.06201696512723843,0.06201696512723843,-2404345.0,3875065.0
3,0.3529,0.0755,0.06620000000000001,0.09820000000000001,0.14460133,8.269429e-07,9.661004e-06,0.2725,0.19240000000000002,0.1505,0.08320000000000001,0.10300000000000001,0.1254,0.2331,0.25470000000000004,-0.21029352633695209,-0.13068508923431207,0.21749408983451535,0.6475256769374416,0.6161218878875822,0.6475256769374416,-0.5646198182221237,2.8141945773524717,0.2483822797411648,-0.40206595152959873,0.40206595152959873,-2404165.0,3874965.0
2,0.2606,0.0601,0.041800000000000004,0.0648,0.14246754,9.489566e-07,1.0514763e-05,0.2854,0.343,0.18780000000000002,0.1145,0.034800000000000005,0.1017,0.2263,0.2669,-0.48693586698337293,-0.03763010408326658,-0.09138381201044385,0.6251948861864671,0.4522443985623613,0.6251948861864671,-0.6017209588199139,2.56243854473943,0.25710754017305315,-0.16235504014272964,0.16235504014272964,-2403335.0,3875025.0
2,0.3345,0.058300000000000005,0.0417,0.07300000000000001,0.15472122,3.4452975e-07,8.7088765e-06,0.3658,0.3699,0.22410000000000002,0.127,0.0357,0.127,0.2999,0.3428,-0.5085829686974083,-0.11195734958111198,-0.07751937984496123,0.7031568228105906,0.5672049870584376,0.7031568228105906,-0.6417177914110429,2.6338582677165356,0.3707501349163518,-0.19763694951664876,0.19763694951664876,-2403275.0,3875065.0
2,0.39780000000000004,0.051800000000000006,0.040100000000000004,0.07440000000000001,0.14458008,3.235191e-07,7.807384e-06,0.4042,0.3795,0.22110000000000002,0.1153,0.0304,0.12840000000000001,0.3269,0.37820000000000004,-0.49644670050761414,-0.17908082408874804,-0.13758865248226954,0.7695729537366548,0.669602585502717,0.7695729537366548,-0.6848792884371029,3.0981308411214954,0.4250832408435072,-0.2855065438681532,0.2855065438681532,-2403225.0,3875065.0
2,0.3546,0.0333,0.0263,0.051300000000000005,0.12810627,2.0815133e-07,6.7863784e-06,0.3879,0.39280000000000004,0.1907,0.09530000000000001,0.024200000000000003,0.0952,0.2949,0.3602,-0.5760330578512396,-0.2127659574468085,-0.04158415841584154,0.8283062645011601,0.6286703754190769,0.8283062645011601,-0.7472283813747228,3.7247899159663866,0.48171206225680935,-0.3005684944067486,0.3005684944067486,-2403095.0,3875135.0
